Serial Number,Station Name,Station Id,Network,Elevation(meter),Latitude,Longitude,Wind Speed(m/s),Air Temperature(C),Start Date,Precipitation for 1 day,Precipitation for 2 days,Precipitation for 3 days,Precipitation for 4 days,Precipitation for 5 days,sm_2,sm_4,sm_8,sm_20,sm_40,st_2,st_4,st_8,st_20,st_40
60,Horse Ridge,533,SNTL,2499.0552000000002,41.31372,-111.44624,-999999,-0.2777777777777778,2017-09-20 00:00:00,17.780000000000072,25.4,25.4,25.4,50.8,0.248,-999999,0.032,0.039,-999999,5.56,-999999,7.78,11.11,-999999
61,Huntington Horse,1216,SNTL,2941.9296,39.61774,-111.30576,-999999,2.3888888888888875,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,35.55999999999996,0.243,-999999,0.349,0.138,-999999,6.11,-999999,7.78,9.44,-999999
62,Indian Canyon,543,SNTL,2795.3208,39.89166,-110.74604,-999999,3.7222222222222237,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,17.780000000000072,0.242,-999999,0.102,0.17600000000000002,-999999,8.33,-999999,10.56,10.0,-999999
63,Jones Corral,1099,SNTL,2971.4952000000003,38.07125,-112.16788,-999999,7.11111111111111,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,5.079999999999981,0.195,-999999,0.14800000000000002,0.06,-999999,6.11,-999999,7.78,7.78,-999999
64,Kilfoil Creek,1145,SNTL,2200.656,41.24764,-111.41249,-999999,-0.6111111111111119,2017-09-20 00:00:00,10.160000000000053,15.240000000000036,15.240000000000036,15.240000000000036,27.940000000000033,0.21100000000000002,-999999,0.076,0.021,-999999,4.44,-999999,7.22,8.33,-999999
65,Kimberly Mine,557,SNTL,2773.9848,38.48383,-112.39273,-999999,8.277777777777779,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,15.239999999999855,0.248,-999999,0.337,0.147,-999999,9.44,-999999,9.44,8.89,-999999
66,Kings Cabin,559,SNTL,2660.2944,40.71632,-109.54401,-999999,3.277777777777777,2017-09-20 00:00:00,0.0,0.0,2.540000000000036,2.540000000000036,12.7,0.166,-999999,0.157,0.125,-999999,8.89,-999999,10.0,10.56,-999999
67,Klondike Narrows,1115,SNTL,2209.8,41.96769,-111.59713,-999999,0.6111111111111119,2017-09-20 00:00:00,30.48000000000007,45.720000000000105,45.720000000000105,48.25999999999996,50.8,0.292,-999999,0.23,0.251,-999999,3.89,-999999,6.11,8.33,-999999
68,Kolob,561,SNTL,2823.3624,37.52664,-113.05386,-999999,4.61111111111111,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.049,-999999,0.11699999999999999,0.09699999999999999,-999999,9.44,-999999,12.22,11.67,-999999
69,Lakefork #1,566,SNTL,3087.0144,40.59709,-110.43316,-999999,0.11111111111111269,2017-09-20 00:00:00,2.540000000000036,2.540000000000036,2.540000000000036,2.540000000000036,12.7,0.21899999999999997,-999999,0.35,0.29100000000000004,-999999,5.0,-999999,6.67,8.33,-999999
70,Lakefork #3,1116,SNTL,2579.8272,40.5502,-110.3529,-999999,0.2777777777777778,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,10.160000000000053,0.064,-999999,0.057,0.0,-999999,6.67,-999999,9.44,11.11,-999999
71,Lakefork Basin,513,SNTL,3317.748,40.73785,-110.62121,-999999,1.5000000000000016,2017-09-20 00:00:00,12.7,12.7,12.7,25.4,35.55999999999996,0.327,-999999,0.392,0.326,-999999,7.78,-999999,7.22,7.78,-999999
72,Lasal Mountain,572,SNTL,2919.3744,38.48226,-109.27198,-999999,7.222222222222222,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.129,-999999,0.13,0.040999999999999995,-999999,11.67,-999999,13.33,12.22,-999999
73,Lasal Mountain-Lower,1215,SNTL,2677.0584000000003,38.48167,-109.29164,-999999,10.111111111111112,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,5.079999999999981,0.23199999999999998,-999999,0.158,0.078,-999999,11.11,-999999,12.22,11.67,-999999
