"","snow.LONGITUDE","snow.LATITUDE","snow.ELEVATION","snow.YRS","snow.HUC","snow.TD","snow.FFP","snow.MCMT","snow.MWMT","snow.PPTWT","snow.RH","snow.MAT","model$prediction"
"65",-109.399,38.651,1439,20,14030005,29,174,-3.09999990463257,25.8999996185303,49,53,11.6999998092651,0.782
"66",-112.74,37.66,2920,36,16030001,19.8999996185303,53,-6.80000019073486,13,183,52,2.29999995231628,9.15793333333333
"67",-111.033,39.18,1725,23,14060009,27.7000007629395,131,-5.5,22.2000007629395,40,47,8.60000038146973,1.50295652173913
"68",-114.407,37.804,1472,13,15010013,23.3999996185303,144,0.200000002980232,23.7000007629395,65,44,11.3000001907349,1.14695833333333
"69",-112.996,37.653,1966,34,16030006,22.1000003814697,123,-2.79999995231628,19.2999992370605,93,53,7.5,5.138125
"70",-113.1,37.7,1710,33,16030006,24.3999996185303,146,-1.5,22.8999996185303,66,49,10.1000003814697,1.47084375
"71",-113.033,37.667,1827,13,16030006,23,137,-2,21,71,52,8.80000019073486,1.47084375
"72",-113.119,37.708,1843,16,16030006,24.5,146,-1.5,23,67,49,10.1999998092651,1.47084375
"73",-109.083,37.716,2060,45,14080203,26,134,-4.5,21.5,84,51,8.19999980926514,2.09270833333333
"74",-111.05,40.85,2741,38,16020101,22.1000003814697,55,-8,14,284,52,2,7.5469375
"75",-111.07,40.89,2487,38,16020101,23.1000003814697,73,-7,16.1000003814697,181,50,3.70000004768372,6.47575
"76",-110.01,40.77,3228,37,14060003,21.7000007629395,32,-10.6000003814697,11.1000003814697,165,47,-0.800000011920929,8.27194117647059
"77",-110.084,41.399,2156,21,14040107,25.7000007629395,95,-6.80000019073486,19,29,51,5.30000019073486,2.54358333333333
"78",-112.273,38.169,1846,27,16030001,24.1000003814697,106,-3.20000004768372,20.8999996185303,40,42,8.19999980926514,1.47084375
"79",-111.832,40.828,1625,45,16020204,23.8999996185303,126,-4.30000019073486,19.7000007629395,216,56,6.90000009536743,2.14530555555556
"80",-111.83,37.97,3063,17,16030002,21.1000003814697,54,-7.30000019073486,13.6999998092651,180,52,2.20000004768372,9.15793333333333
"81",-111.28,39.87,2715,39,16020202,23,73,-7.40000009536743,15.6999998092651,240,53,3.40000009536743,6.47575
"82",-111.25,39.89,2334,39,16020202,23.7000007629395,79,-7.09999990463257,16.5,204,51,4.09999990463257,6.47575
"83",-112.617,39.1,1403,15,16030008,28.2000007629395,141,-3.90000009536743,24.2999992370605,43,46,9.89999961853027,1.50295652173913
"84",-111.15,40.936,1984,35,16020101,24.1000003814697,81,-6.19999980926514,18,77,47,5.30000019073486,2.54358333333333
"85",-111.398,40.914,1692,31,16020101,25,91,-5.59999990463257,19.3999996185303,92,44,6.59999990463257,3.462375
"86",-107.98,39.237,1859,17,14010005,26.6000003814697,134,-5,21.6000003814697,70,49,8.39999961853027,2.09270833333333
"87",-107.967,39.238,1823,20,14010005,26.6000003814697,130,-5.30000019073486,21.3999996185303,69,48,8.19999980926514,1.99766666666667
"88",-112.974,36.994,1527,32,15010009,23.5,170,0.899999976158142,24.3999996185303,80,50,12.1999998092651,1.14695833333333
"89",-108.734,39.101,1762,43,14010005,28.2999992370605,166,-4.09999990463257,24.1000003814697,52,56,10,1.58266666666667
"90",-108.38,38.42,2865,31,14020005,22.8999996185303,95,-5.19999980926514,17.7000007629395,267,50,5.69999980926514,7.5469375
"91",-108.024,37.441,3287,23,14080105,19.2999992370605,49,-7.90000009536743,11.3999996185303,386,54,1.20000004768372,8.27194117647059
"92",-114.751,41.777,1634,18,17040213,24.2000007629395,91,-4.19999980926514,20,49,45,7.09999990463257,2.14530555555556
"93",-112.114,41.55,1289,22,16010204,28.2000007629395,159,-4.30000019073486,23.8999996185303,111,55,9.60000038146973,1.58266666666667
"94",-108.595,37.344,1880,39,14080202,25.6000003814697,134,-3.40000009536743,22.2000007629395,71,46,9.30000019073486,2.09270833333333
"95",-110.81,42.65,2338,33,17040105,23.2000007629395,61,-8.39999961853027,14.8999996185303,294,55,2.09999990463257,6.47575
"96",-111.783,40.619,1512,44,16020204,25.2000007629395,146,-3.5,21.7999992370605,173,57,8.39999961853027,1.58266666666667
"97",-111.09,40.36,2438,39,14060004,23.8999996185303,37,-8.89999961853027,15,197,43,2.59999990463257,6.47575
"98",-112.053,41.833,1308,31,16010204,27.3999996185303,142,-5.09999990463257,22.2999992370605,112,55,8.19999980926514,2.14530555555556
"99",-111.26,40.3,2450,39,16020203,24.3999996185303,59,-8.5,15.8999996185303,228,48,3.20000004768372,6.47575
"100",-111.533,40.4,1606,37,16020203,25.6000003814697,123,-5.30000019073486,20.2999992370605,227,53,7.09999990463257,2.14530555555556
"101",-112.586,39.337,1409,36,16030005,28,139,-4,24.1000003814697,40,46,9.69999980926514,1.50295652173913
"102",-112.652,39.287,1399,29,16030005,28.2000007629395,139,-4,24.2000007629395,40,46,9.80000019073486,1.50295652173913
"103",-113.75,38.6,1601,14,16020302,26.2000007629395,132,-2.79999995231628,23.3999996185303,25,44,9.69999980926514,1.47084375
"104",-111.47,39.05,2799,39,14070002,21.6000003814697,62,-7.09999990463257,14.5,235,53,2.79999995231628,8.85911428571429
"105",-108.972,40.244,1805,35,14050007,29.2999992370605,140,-6.5,22.7999992370605,44,51,8.10000038146973,1.99766666666667
"106",-109.304,40.438,1463,32,14060010,32.5,135,-9.19999980926514,23.3999996185303,42,44,8.10000038146973,2.14530555555556
"107",-108.498,37.475,2118,27,14030002,24.1000003814697,118,-4.40000009536743,19.7000007629395,110,48,7.5,2.09270833333333
"108",-111.48,38.21,2987,32,14070003,21.2000007629395,53,-7.19999980926514,14,112,50,2.40000009536743,9.15793333333333
"109",-115.2,40.89,2469,39,16040101,21.3999996185303,83,-5.09999990463257,16.2999992370605,266,55,4.30000019073486,8.85911428571429
"110",-108.995,37.601,2013,12,14080203,26.1000003814697,142,-4,22,83,52,8.80000019073486,2.09270833333333
"111",-111.9,40.486,1372,21,16020204,26.7000007629395,162,-2.5,24.2999992370605,96,54,10.3999996185303,1.32391304347826
"112",-111.54,41.41,2545,39,16010203,23,84,-6.90000009536743,16.1000003814697,257,58,3.5,8.85911428571429
"113",-112.17,40.57,2162,23,16020204,24.6000003814697,130,-4.69999980926514,19.8999996185303,174,60,6.69999980926514,5.1168
"114",-110.4,40.167,1682,36,14060003,29.6000003814697,123,-8.10000038146973,21.5,41,47,7.19999980926514,1.99766666666667
"115",-112.919,40.183,1323,25,16020306,28.3999996185303,154,-3,25.2999992370605,40,51,10.3999996185303,1.32391304347826
"116",-109.53,39.31,2530,31,14060006,25,117,-6.59999990463257,18.5,87,58,5.30000019073486,6.47575
"117",-111.433,40.967,1667,48,16020101,25.1000003814697,100,-5.40000009536743,19.7000007629395,92,46,6.80000019073486,2.14530555555556
"118",-108.02,37.79,3048,31,14030002,19.5,40,-7.5,11.8999996185303,227,45,1.5,8.27194117647059
"119",-111.95,39.95,1430,22,16020201,27.2999992370605,151,-3.29999995231628,24,69,50,10.1000003814697,1.32391304347826
"120",-114.847,39.295,1909,46,16060008,24.1000003814697,106,-3.29999995231628,20.7999992370605,49,45,7.90000009536743,8.85911428571429
"121",-111.56,42.36,2252,36,16010202,24.2999992370605,87,-7.59999990463257,16.7000007629395,284,57,3.5,9.64516666666667
"122",-113.65,37.767,1570,23,16030006,24.3999996185303,117,-2.29999995231628,22.1000003814697,54,42,9.39999961853027,1.47084375
