"","sm_8","elev","wind","p1day","p2day","p3day","p4day","p5day","slope","aspect","long","lat","prediction","resid","cv_predictions","cv_resid"
"68",0.117,2823.3624,-999999,0,0,0,0,0,6.89463067775264,9.36339052473276,-113.05386,37.52664,0.178885700925959,-0.0618857009259594,0.194181269851215,-0.0771812698512153
"69",0.35,3087.0144,-999999,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,12.7,3.44413452136889,122.815020426075,-110.43316,40.59709,0.202608578431373,0.147391421568627,0.181702280952381,0.168297719047619
"70",0.057,2579.8272,-999999,0,0,0,0,10.1600000000001,3.39571853959367,85.5758542313643,-110.3529,40.5502,0.196452113358368,-0.139452113358368,0.200937610130576,-0.143937610130576
"71",0.392,3317.748,-999999,12.7,12.7,12.7,25.4,35.56,2.57205874413576,175.151457770675,-110.62121,40.73785,0.272489716312057,0.119510283687943,0.270046733333333,0.121953266666667
"72",0.13,2919.3744,-999999,0,0,0,0,0,6.53208208644803,340.276104446675,-109.27198,38.48226,0.181436078127466,-0.0514360781274661,0.193153730644089,-0.0631537306440892
"73",0.158,2677.0584,-999999,0,0,0,0,5.07999999999998,9.70399124124072,296.64925110685,-109.29164,38.48167,0.147329659568238,0.0106703404317624,0.138522441047139,0.0194775589528607
"74",0.164,2503.932,-999999,33.0199999999999,40.6399999999999,40.6399999999999,40.6399999999999,76.2,5.54656278111597,216.326370225795,-111.48749,41.35891,0.217094384057971,-0.053094384057971,0.197795633333333,-0.033795633333333
"75",0.182,2783.7384,-999999,15.24,15.24,15.24,17.78,33.02,8.78347907331468,310.921140783392,-110.79813,40.86493,0.14924637254902,0.0327536274509804,0.143333966666666,0.0386660333333335
"76",0.193,1995.8304,-999999,15.24,30.4799999999999,30.4799999999999,30.4799999999999,48.26,11.9740899857767,323.621013074099,-111.82607,41.40562,0.182332752902156,0.0106672470978441,0.178759766666667,0.0142402333333334
"77",0.198,1848.612,-999999,0,0,0,0,2.54000000000004,4.02477482727157,63.0659106673485,-113.84582,37.48631,0.150336680359695,0.0476633196403052,0.153184726194623,0.0448152738053772
"78",0.11,2868.168,-999999,0,0,0,0,0,35.3538918555439,341.875887604634,-110.77241,38.07,0.212806340852321,-0.102806340852321,0.213037471858534,-0.103037471858534
"79",0.067,2432.9136,-999999,0,0,0,0,2.54000000000004,1.292882696205,318.617227349942,-113.39661,37.51255,0.186893519274376,-0.119893519274376,0.189904499188852,-0.122904499188852
"80",0.151,2275.332,-999999,0,0,0,0,0,2.90417103548125,166.81930833931,-112.51458,37.48756,0.147288519230365,0.00371148076963537,0.166383382475817,-0.0153833824758171
